#X		Y		Free		Pro
-3.171400	-2.025700	nan	0.000000
-3.171400	-1.974300	nan	0.000000
-3.171400	-1.922900	nan	0.000000
-3.171400	-1.871500	nan	0.000000
-3.171400	-1.820100	nan	0.000000
-3.171400	-1.768700	nan	0.000000
-3.171400	-1.717300	nan	0.000000
-3.171400	-1.665900	nan	0.000000
-3.171400	-1.614500	nan	0.000000
-3.171400	-1.563100	nan	0.000000
-3.171400	-1.511700	nan	0.000000
-3.171400	-1.460300	nan	0.000000
-3.171400	-1.408900	nan	0.000000
-3.171400	-1.357500	nan	0.000000
-3.171400	-1.306100	nan	0.000000
-3.171400	-1.254700	nan	0.000000
-3.171400	-1.203300	nan	0.000000
-3.171400	-1.151900	nan	0.000000
-3.171400	-1.100500	nan	0.000000
-3.171400	-1.049100	nan	0.000000
-3.171400	-0.997700	nan	0.000000
-3.171400	-0.946300	nan	0.000000
-3.171400	-0.894900	nan	0.000000
-3.171400	-0.843500	nan	0.000000
-3.171400	-0.792100	nan	0.000000
-3.171400	-0.740700	nan	0.000000
-3.171400	-0.689300	nan	0.000000
-3.171400	-0.637900	nan	0.000000
-3.171400	-0.586500	nan	0.000000
-3.171400	-0.535100	nan	0.000000
-3.171400	-0.483700	nan	0.000000
-3.171400	-0.432300	nan	0.000000
-3.171400	-0.380900	nan	0.000000
-3.171400	-0.329500	nan	0.000000
-3.171400	-0.278100	nan	0.000000
-3.171400	-0.226700	nan	0.000000
-3.171400	-0.175300	nan	0.000000
-3.171400	-0.123900	nan	0.000000
-3.171400	-0.072500	nan	0.000000
-3.171400	-0.021100	nan	0.000000
-3.171400	0.030300	nan	0.000000
-3.171400	0.081700	nan	0.000000
-3.171400	0.133100	nan	0.000000
-3.171400	0.184500	nan	0.000000
-3.171400	0.235900	nan	0.000000
-3.171400	0.287300	nan	0.000000
-3.171400	0.338700	nan	0.000000
-3.171400	0.390100	nan	0.000000
-3.171400	0.441500	nan	0.000000
-3.171400	0.492900	nan	0.000000
-3.171400	0.544300	nan	0.000000
-3.171400	0.595700	nan	0.000000
-3.171400	0.647100	nan	0.000000
-3.171400	0.698500	nan	0.000000
-3.171400	0.749900	nan	0.000000
-3.171400	0.801300	nan	0.000000
-3.171400	0.852700	nan	0.000000
